Date,paid_search_impressions_adst.5,kwai_impressions_lag2_adst.3,indicacao_clicks_adst.3,infleux_clicks_adst.3,programmaticclicks_adst.4,influencer_clicks_adst.3,FB: Level Achieved - Tier 1 Impressions_adst.2, FB: Level Achieved - Tier 2 Impressions_lag3_adst.5,paid_social_others_adst.3, GA App: Will And Cid Pequena Baixo Risco Clicks_lag3_adst.5,digital_tactic_others_adst.2,total_approved_accounts_revenue
9/15/2023,0.271812057,0.522196252,0.199758638,0.273920456,0.003558986,0.674672382,0.453272617,0.628501285,0.246011212,0.552397004,0.508287914,3201640
9/16/2023,0.250645522,0.510825926,0.17169145,0.167768244,0.002644832,0.398735821,0.51503925,0.68049428,0.267417774,0.541383101,0.47006808,2843020
9/17/2023,0.264668735,0.463762063,0.131553139,0.137093074,0.002694229,0.59794978,0.501308384,0.663934625,0.313340576,0.57690714,0.496671445,2605750
9/18/2023,0.299559294,0.38330379,0.175044761,0.130985826,0.001748635,0.503677554,0.399215154,0.660205201,0.295163177,0.672867682,0.524268987,3209930
9/19/2023,0.338527377,0.443228254,0.142991349,0.109307292,0.001831483,0.417273107,0.378736961,0.692561996,0.276091933,0.742422248,0.532955569,3291230
9/20/2023,0.329314347,0.538812954,0.107979726,0.123439091,0.002754815,0.463397499,0.408525577,0.694579954,0.280491363,0.695130912,0.522400347,3121460
9/21/2023,0.287703714,0.606640376,0.162809316,0.157643253,0.001948119,0.372702214,0.435859785,0.655471895,0.239661752,0.687602902,0.51712223,3634580
9/22/2023,0.237068547,0.623358786,0.253232097,0.123191666,0.000878479,0.419086349,0.401427647,0.625647313,0.231590745,0.613592992,0.497332565,3160370
9/23/2023,0.177515861,0.567885248,0.247455297,0.074689447,0.001139298,0.237638333,0.444010576,0.643011354,0.2572015,0.631818233,0.426544024,2718390
9/24/2023,0.143585994,0.489132735,0.239057229,0.097169713,0.002042195,0.325306387,0.436320619,0.656821352,0.243553092,0.647423056,0.506056525,2680930
9/25/2023,0.204279364,0.507448994,0.3226036,0.211971977,0.004661988,0.282213067,0.385901315,0.642021987,0.225886387,0.6255326,0.456524077,3830560
9/26/2023,0.21788609,0.606991165,0.329200379,0.303584739,0.004711699,0.637911669,0.418347082,0.675866922,0.227088594,0.656275548,0.430621185,3971740
9/27/2023,0.208515885,0.570243413,0.284102716,0.993454921,0.004681344,0.51853911,0.402944328,0.680094087,0.217517075,0.571349783,0.418784385,5686340
9/28/2023,0.200810037,0.561892396,0.222205865,0.748276186,0.006938876,0.645382723,0.364772161,0.648982381,0.235715173,0.530586291,0.407667315,4377350
9/29/2023,0.179713698,0.503856373,0.126290877,0.263055824,0.005835482,0.519454431,0.3817064,0.672605498,0.261796084,0.48575589,0.329112075,2520650
9/30/2023,0.144873709,0.451065502,0.076757322,0.194057301,0.005310299,0.404547237,0.141395589,0.658399528,0.104844269,0.468146779,0.169594442,2765900
10/1/2023,0.120782904,0.461681217,0.048198384,0.123737509,0.003636293,0.267752468,0.073157059,0.632603075,0.158386232,0.449437962,0.182244653,2069510
10/2/2023,0.14976928,0.436598266,0.305415144,0.118473574,0.003110915,0.337434616,0.049127943,0.635878809,0.161773911,0.435151338,0.218592594,2321500
10/3/2023,0.154382116,0.185561999,0.610034118,0.081137998,0.002201134,0.397456111,0.036639738,0.418813975,0.154670802,0.28972675,0.224305485,2455260
10/4/2023,0.173680221,0.17906281,0.553340284,0.141614852,0.001402354,0.702761467,0.034648861,0.305113036,0.163085261,0.232136378,0.22158316,2496730
10/5/2023,0.195915708,0.181809583,0.758991475,0.113727185,0.001392961,0.843635886,0.033263486,0.241371049,0.061581248,0.211008365,0.203056163,2626960
