const,paid_search_impressions,paid_social_impressions_adst.2,digital_app_clicks_adst.4,kwai_clicks_adst.3,indicacao_clicks_adst.2,infleux_clicks_adst.2,influencer_clicks,total_approved_accounts_revenue
1.0,0.47471451876019577,0.9990394302128048,0.6687937895108235,0.5003941195174586,0.9999999999999998,0.31484515696854554,0.29201331114808654,5532390
1.0,0.42033713974986403,0.9691737182595307,0.6402668571975707,0.4225944503905591,0.41938486752141896,0.2473359382062451,0.2701053799223517,5067480
1.0,0.38118542686242524,0.9740497950421957,0.6832849458008096,0.3776735695532696,0.22116345471958396,0.25065912147549807,0.17221297836938437,4393760
1.0,0.3717237629146275,0.9421896244646736,0.6397513197147158,0.3034598337517481,0.16467011571770962,0.18277534158604689,0.05435385468663338,3983150
1.0,0.29309407286568784,0.9630599995514085,0.6480390385063626,0.5609959116880131,0.10437330474953188,0.3187423204054468,0.0995562950637826,4220310
1.0,0.2831973898858075,1.0,0.6973993567838588,0.7659462236199558,0.08122617638148505,0.3095538566632355,0.23460898502495842,3832400
1.0,0.45742251223491026,0.8314234952511022,0.734363914860949,0.9653893710846513,0.11081120564313016,0.6610055485169566,0.6051026067665003,5691990
1.0,0.47417074497009243,0.7435212463966259,0.7267016765574156,1.0,0.1690689900540772,0.5579619257102465,0.5884636716583472,5347820
1.0,0.48047852093529086,0.8040530098923186,0.8407001042915866,0.9061196234033467,0.17751379103288292,0.2183380248183921,0.343871325568497,4690310
1.0,0.5086460032626428,0.7711135020842201,0.8655346138505785,0.7270828542751382,0.1413467260302251,0.1993776915585871,0.30560177481974493,4576570
1.0,0.40935290918977707,0.7129210492254561,0.9398265407393668,0.691748428638036,0.27656936765288964,0.14321998972990743,0.14780920687742655,4357960
1.0,0.31941272430668843,0.7108275396987929,0.9002084191998284,0.5525846919418803,0.1478416515859384,0.15351724738120215,0.12839711591791458,3959970
1.0,0.2926590538336052,0.7493339922027443,0.900408216734934,0.5086022186617983,0.11125292527551356,0.645944825173323,0.07709373266777593,5284400
1.0,0.4776508972267537,0.6828628862018746,0.8275117049930479,0.637225345901217,0.13910079136070364,0.7086545440269756,0.3854686633388797,6253530
1.0,0.4567699836867863,0.6511629101711065,0.780299161838046,0.5168801392928504,0.24065563449936098,0.27801080290426106,0.18857459789240155,4938210
1.0,0.4648178357803154,0.6504086473498497,0.8469012830220007,0.505222074453101,0.44796395373033776,0.4063106920720338,0.36466999445368836,5687460
1.0,0.4231647634584013,0.6296431959656335,0.9376332084069768,0.4612572828691187,0.28256268591080086,0.2677457421748357,0.29866888519134777,5138270
1.0,0.38379554105492114,0.5895243096096725,0.8719709939641674,0.37140560112695487,0.24010674771411925,0.2360707297031862,0.367997781475319,4621140
1.0,0.3459488852637303,0.600783961105199,0.9176871850969998,0.3024776392459809,0.1488106004340202,0.21887182535236316,0.24764281752634504,3893270
1.0,0.27536704730831973,0.6673074815857417,0.9999999999999999,0.310468696685264,0.1074518581146435,0.2683585138929743,0.2420965058236273,4020490
1.0,0.4343665035345296,0.6349924876710273,0.9620284182818156,0.5223641671861887,0.18665932365917492,0.30615283188871106,0.5030504714364947,4709550
